ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Cluster
GOCC_CHROMAFFIN_GRANULE_MEMBRANE	GOCC_CHROMAFFIN_GRANULE_MEMBRANE	2/53	7/16462	0.000211383727495078	0.00275805434922149	0.00182775403473188	SYT2/SYT1	2	4
GOCC_CYTOSKELETON_OF_PRESYNAPTIC_ACTIVE_ZONE	GOCC_CYTOSKELETON_OF_PRESYNAPTIC_ACTIVE_ZONE	2/53	7/16462	0.000211383727495078	0.00275805434922149	0.00182775403473188	BSN/RIMS1	2	4
GOCC_DENSE_CORE_GRANULE_MEMBRANE	GOCC_DENSE_CORE_GRANULE_MEMBRANE	2/53	7/16462	0.000211383727495078	0.00275805434922149	0.00182775403473188	SYT5/CADPS	2	4
GOBP_POSITIVE_REGULATION_OF_GROWTH	GOBP_POSITIVE_REGULATION_OF_GROWTH	5/53	186/16462	0.000322677998681019	0.00416064807711055	0.00275724853362109	SYT2/UNC13A/RIMS1/SYT1/PARP2	5	4
GOBP_POSITIVE_REGULATION_OF_VESICLE_FUSION	GOBP_POSITIVE_REGULATION_OF_VESICLE_FUSION	2/53	9/16462	0.000360878363835664	0.00459910100888242	0.00304780992713107	PRRT2/SYT1	2	4
GOBP_DEVELOPMENTAL_CELL_GROWTH	GOBP_DEVELOPMENTAL_CELL_GROWTH	5/53	198/16462	0.000429871073312825	0.00540229003497107	0.00358008079536116	SYT2/UNC13A/RIMS1/SYT1/PARP2	5	4
GOCC_EXCITATORY_SYNAPSE	GOCC_EXCITATORY_SYNAPSE	3/53	46/16462	0.000433760513756801	0.00540229003497107	0.00358008079536116	BSN/SYT1/SYP	3	4
GOBP_SYNAPTIC_VESICLE_DOCKING	GOBP_SYNAPTIC_VESICLE_DOCKING	2/53	10/16462	0.000450167554541939	0.00548204044197739	0.0036329311419174	SNAP25/UNC13A	2	4
GOCC_PRESYNAPTIC_CYTOSKELETON	GOCC_PRESYNAPTIC_CYTOSKELETON	2/53	10/16462	0.000450167554541939	0.00548204044197739	0.0036329311419174	BSN/RIMS1	2	4
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	GOBP_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	3/53	49/16462	0.000522882596109135	0.00629757500368805	0.00417338335818743	SYT1/SYP/SYN1	3	4
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION	2/53	11/16462	0.000549070222017261	0.00640192514181828	0.00424253587001019	STXBP1/ITGB2	2	4
GOCC_CHROMAFFIN_GRANULE	GOCC_CHROMAFFIN_GRANULE	2/53	11/16462	0.000549070222017261	0.00640192514181828	0.00424253587001019	SYT2/SYT1	2	4
GOCC_NEURONAL_DENSE_CORE_VESICLE	GOCC_NEURONAL_DENSE_CORE_VESICLE	2/53	11/16462	0.000549070222017261	0.00640192514181828	0.00424253587001019	SYT5/CADPS	2	4
GOBP_SYNAPTIC_VESICLE_LOCALIZATION	GOBP_SYNAPTIC_VESICLE_LOCALIZATION	3/53	51/16462	0.000588347378744918	0.00678767081162558	0.00449816832503039	SYN2/DNM1/SYN1	3	4
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_BINDING	GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_BINDING	3/53	55/16462	0.000734494045886341	0.00838547369053572	0.0055570273208506	SYT5/SYT1/SYT7	3	4
GOBP_SNARE_COMPLEX_ASSEMBLY	GOBP_SNARE_COMPLEX_ASSEMBLY	2/53	13/16462	0.000775474341622119	0.0087620606022458	0.00580659029537995	PRRT2/STXBP1	2	4
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	3/53	57/16462	0.000815476371503671	0.0091200214608982	0.00604380984250841	UNC13A/SYT1/STXBP1	3	4
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	2/53	14/16462	0.000902855662515626	0.00989529806117126	0.00655758323300823	SYT1/STXBP1	2	4
GOBP_SYNAPTIC_VESICLE_CLUSTERING	GOBP_SYNAPTIC_VESICLE_CLUSTERING	2/53	14/16462	0.000902855662515626	0.00989529806117126	0.00655758323300823	SYN2/SYN1	2	4
GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	4/53	139/16462	0.00103434640307718	0.0112241946314118	0.00743823885485415	PRRT2/CNTN1/GPM6A/SYT7	4	4
GOBP_REGULATION_OF_CELL_MORPHOGENESIS	GOBP_REGULATION_OF_CELL_MORPHOGENESIS	5/53	249/16462	0.00120762957398487	0.0129760981675237	0.00859921987667247	SYT2/UNC13A/RIMS1/SYT1/ITGB2	5	4
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	5/53	258/16462	0.00141317372745126	0.0150372660707435	0.00996514943220612	SYT2/UNC13A/RIMS1/SYT1/PARP2	5	4
GOBP_ISOPRENOID_METABOLIC_PROCESS	GOBP_ISOPRENOID_METABOLIC_PROCESS	3/53	70/16462	0.00148131186301995	0.0156107480949025	0.0103451941850584	CRABP1/TH/FDFT1	3	4
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	2/53	19/16462	0.00167917695270546	0.0175274089539541	0.0116153593720979	SYT1/STXBP1	2	4
GOBP_NEURON_PROJECTION_EXTENSION	GOBP_NEURON_PROJECTION_EXTENSION	4/53	159/16462	0.00169840205877318	0.0175608363812774	0.0116375116241658	SYT2/UNC13A/RIMS1/SYT1	4	4
GOMF_PHOSPHATIDYLINOSITOL_BISPHOSPHATE_BINDING	GOMF_PHOSPHATIDYLINOSITOL_BISPHOSPHATE_BINDING	3/53	77/16462	0.001948381158934	0.0199572500017913	0.0132256074733346	SYT5/SYT1/SYT7	3	4
GOBP_NEURON_DEATH	GOBP_NEURON_DEATH	5/53	279/16462	0.00199226167677273	0.0202177666457677	0.0133982510426236	PRNP/SIAH1/STXBP1/ITGB2/PARP2	5	4
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	3/53	78/16462	0.00202173646074821	0.0202776652509645	0.0134379456618954	UNC13A/SYT1/STXBP1	3	4
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	2/53	21/16462	0.00205366865224184	0.0202776652509645	0.0134379456618954	RIMS1/STXBP1	2	4
GOBP_REGULATION_OF_LEUKOCYTE_DEGRANULATION	GOBP_REGULATION_OF_LEUKOCYTE_DEGRANULATION	2/53	21/16462	0.00205366865224184	0.0202776652509645	0.0134379456618954	STXBP1/ITGB2	2	4
GOBP_RECEPTOR_INTERNALIZATION	GOBP_RECEPTOR_INTERNALIZATION	3/53	79/16462	0.00209679241150489	0.0203996327031115	0.0135187731128956	SNAP25/DNM1/ITGB2	3	4
GOCC_SIDE_OF_MEMBRANE	GOCC_SIDE_OF_MEMBRANE	5/53	283/16462	0.00211973233664993	0.0203996327031115	0.0135187731128956	PRNP/TH/PTP4A1/SNAP25/ITGB2	5	4
GOBP_PEPTIDE_TRANSPORT	GOBP_PEPTIDE_TRANSPORT	4/53	169/16462	0.00212185960598057	0.0203996327031115	0.0135187731128956	SNAP25/CPE/SYT7/VSNL1	4	4
GOCC_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	GOCC_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	2/53	23/16462	0.00246401360929263	0.0234831210068237	0.0155621912165851	GPM6A/STXBP1	2	4
GOBP_POSITIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_POSITIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	2/53	24/16462	0.00268248749260342	0.0253448818266668	0.0167959743184787	PRNP/ITGB2	2	4
GOMF_INTEGRIN_BINDING	GOMF_INTEGRIN_BINDING	3/53	88/16462	0.00285105074832975	0.0267072788048667	0.017698830556433	TLN2/CD151/ITGB2	3	4
GOBP_INTRACELLULAR_STEROL_TRANSPORT	GOBP_INTRACELLULAR_STEROL_TRANSPORT	2/53	25/16462	0.00290975293963106	0.0267990690910558	0.017759659693458	GRAMD1C/SYT7	2	4
GOCC_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	GOCC_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	2/53	25/16462	0.00290975293963106	0.0267990690910558	0.017759659693458	SYT1/SYP	2	4
GOBP_POSITIVE_REGULATION_OF_AMINE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_AMINE_TRANSPORT	2/53	26/16462	0.00314575324984296	0.0287312130152324	0.0190400854595758	SYT1/STXBP1	2	4
GOBP_PROTEIN_ADP_RIBOSYLATION	GOBP_PROTEIN_ADP_RIBOSYLATION	2/53	27/16462	0.0033904319847015	0.0304583070101053	0.0201846252756172	HPF1/PARP2	2	4
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	2/53	27/16462	0.0033904319847015	0.0304583070101053	0.0201846252756172	STXBP1/ITGB2	2	4
GOBP_AMIDE_TRANSPORT	GOBP_AMIDE_TRANSPORT	4/53	195/16462	0.0035540981442296	0.0316690371225662	0.0209869723536023	SNAP25/CPE/SYT7/VSNL1	4	4
GOBP_HORMONE_TRANSPORT	GOBP_HORMONE_TRANSPORT	4/53	196/16462	0.00361959258981016	0.0319925280518705	0.021201348785815	SNAP25/CPE/SYT7/VSNL1	4	4
GOBP_DOPAMINE_METABOLIC_PROCESS	GOBP_DOPAMINE_METABOLIC_PROCESS	2/53	29/16462	0.00390560027789881	0.0339725230521992	0.0225134853111962	TH/ITGB2	2	4
GOBP_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	2/53	29/16462	0.00390560027789881	0.0339725230521992	0.0225134853111962	PRNP/ITGB2	2	4
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	4/53	206/16462	0.0043203128262975	0.0372839595088351	0.0247079639465004	SYT2/UNC13A/RIMS1/SYT1	4	4
GOBP_DEVELOPMENTAL_MATURATION	GOBP_DEVELOPMENTAL_MATURATION	4/53	208/16462	0.004470695104675	0.0382803268337797	0.0253682534722512	UNC13A/CNTNAP2/SYP/STXBP1	4	4
GOCC_CYTOPLASMIC_REGION	GOCC_CYTOPLASMIC_REGION	4/53	210/16462	0.00462457898883626	0.0392909966803453	0.0260380212345738	BSN/OPA1/UNC13A/RIMS1	4	4
GOCC_HIPPOCAMPAL_MOSSY_FIBER_TO_CA3_SYNAPSE	GOCC_HIPPOCAMPAL_MOSSY_FIBER_TO_CA3_SYNAPSE	2/53	32/16462	0.00474204488780163	0.0399790861310045	0.026494015972333	SYT1/SYT7	2	4
GOBP_REGULATION_OF_INSULIN_SECRETION	GOBP_REGULATION_OF_INSULIN_SECRETION	3/53	108/16462	0.00507001909482205	0.0424178696788165	0.0281101902404758	SNAP25/SYT7/VSNL1	3	4
GOMF_CATION_CHANNEL_ACTIVITY	GOMF_CATION_CHANNEL_ACTIVITY	4/53	221/16462	0.00553519432913286	0.0459588862479516	0.0304568109019272	TRPM5/SCN3A/GPM6A/SNAP25	4	4
GOCC_ENDOCYTIC_VESICLE	GOCC_ENDOCYTIC_VESICLE	4/53	223/16462	0.00571274055332904	0.0470247409376221	0.0311631494880515	SYT2/SYT1/STXBP1/SYT7	4	4
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	3/53	113/16462	0.00574937526062168	0.0470247409376221	0.0311631494880515	TH/OPA1/RIMS1	3	4
GOBP_LEUKOCYTE_DEGRANULATION	GOBP_LEUKOCYTE_DEGRANULATION	2/53	36/16462	0.00597388569414804	0.0484991016354537	0.0321402037345977	STXBP1/ITGB2	2	4
GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	2/53	37/16462	0.00630230145041208	0.0500530607945771	0.0331700076337478	TH/ITGB2	2	4
GOMF_CHOLESTEROL_BINDING	GOMF_CHOLESTEROL_BINDING	2/53	37/16462	0.00630230145041208	0.0500530607945771	0.0331700076337478	GRAMD1C/SYP	2	4
GOMF_SODIUM_CHANNEL_ACTIVITY	GOMF_SODIUM_CHANNEL_ACTIVITY	2/53	37/16462	0.00630230145041208	0.0500530607945771	0.0331700076337478	TRPM5/SCN3A	2	4
GOCC_PHOTORECEPTOR_INNER_SEGMENT	GOCC_PHOTORECEPTOR_INNER_SEGMENT	2/53	38/16462	0.0066387918020838	0.0519722558220275	0.0344418522062994	SNAP25/DNM1	2	4
GOCC_TERTIARY_GRANULE_MEMBRANE	GOCC_TERTIARY_GRANULE_MEMBRANE	2/53	38/16462	0.0066387918020838	0.0519722558220275	0.0344418522062994	SNAP25/ITGB2	2	4
GOBP_INTRACELLULAR_LIPID_TRANSPORT	GOBP_INTRACELLULAR_LIPID_TRANSPORT	2/53	39/16462	0.00698330337391179	0.0535223811035477	0.0354691154066922	GRAMD1C/SYT7	2	4
GOCC_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE	GOCC_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE	2/53	39/16462	0.00698330337391179	0.0535223811035477	0.0354691154066922	PRNP/CNTN1	2	4
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE	GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE	2/53	39/16462	0.00698330337391179	0.0535223811035477	0.0354691154066922	SYT2/SYT1	2	4
GOCC_ENDOCYTIC_VESICLE_MEMBRANE	GOCC_ENDOCYTIC_VESICLE_MEMBRANE	3/53	122/16462	0.00710434313017379	0.0540719449352116	0.0358333096478064	SYT2/SYT1/SYT7	3	4
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT	GOBP_REGULATION_OF_PEPTIDE_TRANSPORT	3/53	123/16462	0.00726557817922248	0.0546940014359561	0.036245544555138	SNAP25/SYT7/VSNL1	3	4
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	2/53	40/16462	0.00733578303931163	0.0546940014359561	0.036245544555138	TH/CNTNAP2	2	4
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	2/53	40/16462	0.00733578303931163	0.0546940014359561	0.036245544555138	STXBP1/ITGB2	2	4
GOBP_RECEPTOR_METABOLIC_PROCESS	GOBP_RECEPTOR_METABOLIC_PROCESS	3/53	124/16462	0.00742897670944214	0.0550145842807336	0.0364579938087843	SNAP25/DNM1/ITGB2	3	4
GOBP_COGNITION	GOBP_COGNITION	4/53	242/16462	0.00759265550640366	0.0554908135473729	0.0367735894618587	PRNP/TH/SNAP25/CNTNAP2	4	4
GOBP_LEARNING	GOBP_LEARNING	3/53	125/16462	0.0075945456497317	0.0554908135473729	0.0367735894618587	TH/SNAP25/CNTNAP2	3	4
GOBP_NEURON_RECOGNITION	GOBP_NEURON_RECOGNITION	2/53	41/16462	0.00769617791936689	0.0558609999975239	0.0370189108704298	CNTNAP2/OPCML	2	4
GOCC_SNARE_COMPLEX	GOCC_SNARE_COMPLEX	2/53	42/16462	0.00806443538183369	0.0581488235426956	0.0385350444145793	SNAP25/SYN2	2	4
GOBP_TRANSMISSION_OF_NERVE_IMPULSE	GOBP_TRANSMISSION_OF_NERVE_IMPULSE	2/53	44/16462	0.0088243287524423	0.0628017163160829	0.0416185019766588	SCN3A/CNTNAP2	2	4
GOMF_STEROL_BINDING	GOMF_STEROL_BINDING	2/53	44/16462	0.0088243287524423	0.0628017163160829	0.0416185019766588	GRAMD1C/SYP	2	4
GOBP_INSULIN_SECRETION	GOBP_INSULIN_SECRETION	3/53	134/16462	0.00918341394788576	0.0649356237863406	0.043032635816918	SNAP25/SYT7/VSNL1	3	4
GOCC_CYTOPLASMIC_SIDE_OF_MEMBRANE	GOCC_CYTOPLASMIC_SIDE_OF_MEMBRANE	3/53	135/16462	0.00937103981454057	0.0658375617739517	0.0436303473146626	TH/PTP4A1/SNAP25	3	4
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	3/53	136/16462	0.00956090389468546	0.0667436348316896	0.0442307991105127	SYT5/SYT1/SYT7	3	4
GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY	GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY	3/53	137/16462	0.00975301161065704	0.0676538020587349	0.0448339640996227	TRPM5/SCN3A/SNAP25	3	4
GOCC_SPECIFIC_GRANULE_MEMBRANE	GOCC_SPECIFIC_GRANULE_MEMBRANE	2/53	49/16462	0.0108580201628698	0.0748452207453167	0.0495996948850063	SNAP25/ITGB2	2	4
GOBP_CELL_CELL_JUNCTION_ORGANIZATION	GOBP_CELL_CELL_JUNCTION_ORGANIZATION	3/53	144/16462	0.0111610179643448	0.0754322855345097	0.0499887408939797	TLN2/CNTNAP2/NUMBL	3	4
GOBP_CELLULAR_COMPONENT_MAINTENANCE	GOBP_CELLULAR_COMPONENT_MAINTENANCE	2/53	50/16462	0.0112873127989595	0.0754322855345097	0.0499887408939797	PRNP/BSN	2	4
GOBP_REGULATION_OF_ANION_TRANSPORT	GOBP_REGULATION_OF_ANION_TRANSPORT	2/53	50/16462	0.0112873127989595	0.0754322855345097	0.0499887408939797	PRNP/STXBP1	2	4
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE	GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE	2/53	50/16462	0.0112873127989595	0.0754322855345097	0.0499887408939797	SYT2/SYT1	2	4
GOCC_PLATELET_ALPHA_GRANULE	GOCC_PLATELET_ALPHA_GRANULE	2/53	50/16462	0.0112873127989595	0.0754322855345097	0.0499887408939797	APLP2/STXBP1	2	4
GOCC_SMC5_SMC6_COMPLEX	GOCC_SMC5_SMC6_COMPLEX	4/76	6/16462	6.24746047479341e-09	6.56608095900787e-06	5.54379913710615e-06	SMC5/NSMCE1/NSMCE2/SMC6	4	5
GOCC_CELL_DIVISION_SITE	GOCC_CELL_DIVISION_SITE	7/76	63/16462	1.51651482288794e-08	7.96928539427615e-06	6.72853681944493e-06	SEPTIN8/SEPTIN3/SEPTIN11/PSD/PKN1/SEPTIN5/FSD1	7	5
GOCC_SUMO_LIGASE_COMPLEX	GOCC_SUMO_LIGASE_COMPLEX	4/76	9/16462	5.19297542339531e-08	1.81927238999616e-05	1.53602746734114e-05	SMC5/NSMCE1/NSMCE2/SMC6	4	5
GOCC_SEPTIN_CYTOSKELETON	GOCC_SEPTIN_CYTOSKELETON	4/76	10/16462	8.62468280432431e-08	2.26613540683621e-05	1.91331779053826e-05	SEPTIN8/SEPTIN3/SEPTIN11/SEPTIN5	4	5
GOMF_GTPASE_ACTIVITY	GOMF_GTPASE_ACTIVITY	9/76	263/16462	3.3111774593962e-06	0.00069600950196508	0.000587646862793893	SEPTIN8/SEPTIN3/SEPTIN11/RGS10/RGS6/SEPTIN5/GNB5/DRG2/RHEBL1	9	5
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	3/76	13/16462	2.61604186191048e-05	0.00394318767708464	0.00332926757652597	SMC5/NSMCE2/SMC6	3	5
GOMF_SINGLE_STRANDED_RNA_BINDING	GOMF_SINGLE_STRANDED_RNA_BINDING	5/76	76/16462	2.6262905556225e-05	0.00394318767708464	0.00332926757652597	PIWIL1/ZCCHC13/CBX8/ELAVL4/IFIH1	5	5
GOBP_RECOMBINATIONAL_REPAIR	GOBP_RECOMBINATIONAL_REPAIR	6/76	136/16462	3.87241338771406e-05	0.00508738308810934	0.00429532169189862	SMC5/MAGEF1/NSMCE1/NSMCE2/HUS1/SMC6	6	5
GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS	GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS	5/76	86/16462	4.77630665095548e-05	0.00518414156454201	0.00437701571326447	SEPTIN8/SEPTIN3/SEPTIN11/SEPTIN5/STMN1	5	5
GOBP_CYTOKINESIS	GOBP_CYTOKINESIS	6/76	142/16462	4.93257998529211e-05	0.00518414156454201	0.00437701571326447	SEPTIN8/SEPTIN3/SEPTIN11/SEPTIN5/STMN1/FSD1	6	5
GOBP_MITOTIC_RECOMBINATION	GOBP_MITOTIC_RECOMBINATION	3/76	21/16462	0.000118462588015234	0.0113185618185465	0.00955635997098971	SMC5/NSMCE2/SMC6	3	5
GOCC_CONDENSED_CHROMOSOME	GOCC_CONDENSED_CHROMOSOME	6/76	211/16462	0.000428014285139616	0.0351804171088057	0.0297031314765118	SMC5/DYNLT3/NSMCE1/NSMCE2/HUS1/SMC6	6	5
GOBP_REGULATION_OF_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	GOBP_REGULATION_OF_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	2/76	7/16462	0.000435152637882468	0.0351804171088057	0.0297031314765118	SMC5/NSMCE2	2	5
GOBP_POSITIVE_REGULATION_OF_SISTER_CHROMATID_COHESION	GOBP_POSITIVE_REGULATION_OF_SISTER_CHROMATID_COHESION	2/76	8/16462	0.000578467428520694	0.0434263762410892	0.036665266334056	SMC5/NSMCE2	2	5
GOMF_PHOSPHATASE_BINDING	GOMF_PHOSPHATASE_BINDING	5/76	152/16462	0.00068516236267929	0.0480070428783956	0.0405327629290275	PPP1R16A/PHACTR1/TRAF2/TRAF3/PPP1R18	5	5
GOBP_DOUBLE_STRAND_BREAK_REPAIR	GOBP_DOUBLE_STRAND_BREAK_REPAIR	6/76	234/16462	0.000737737300583214	0.0484601189320598	0.0409152989731348	SMC5/MAGEF1/NSMCE1/NSMCE2/HUS1/SMC6	6	5
GOCC_CD40_RECEPTOR_COMPLEX	GOCC_CD40_RECEPTOR_COMPLEX	2/76	10/16462	0.000924127297943716	0.0539587661188247	0.0455578545126639	TRAF2/TRAF3	2	5
GOMF_THIOESTERASE_BINDING	GOMF_THIOESTERASE_BINDING	2/76	10/16462	0.000924127297943716	0.0539587661188247	0.0455578545126639	TRAF2/TRAF3	2	5
GOBP_DNA_RECOMBINATION	GOBP_DNA_RECOMBINATION	6/76	252/16462	0.00108315000947127	0.0591772186218084	0.0499638392490204	SMC5/MAGEF1/NSMCE1/NSMCE2/HUS1/SMC6	6	5
GOBP_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	GOBP_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	2/76	11/16462	0.00112611262838836	0.0591772186218084	0.0499638392490204	SMC5/NSMCE2	2	5
GOBP_NEGATIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE	3/52	6/16462	5.90599142399607e-07	0.000521499042738853	0.000361819685133233	SYT11/CD200/CD200R1	3	6
GOBP_NEUROINFLAMMATORY_RESPONSE	GOBP_NEUROINFLAMMATORY_RESPONSE	3/52	14/16462	1.05585191881424e-05	0.00466158622156488	0.00323424114078889	SYT11/CD200/CD200R1	3	6
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	5/52	103/16462	1.78944354229565e-05	0.00526692882615687	0.00365423207584586	SLC7A1/SLC9A6/ACSL1/ATP1B3/SLC9A7	5	6
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	3/52	20/16462	3.26279462783667e-05	0.00640541646361688	0.00444412276548253	SYT11/CD200/CD200R1	3	6
GOBP_PHOSPHOLIPID_METABOLIC_PROCESS	GOBP_PHOSPHOLIPID_METABOLIC_PROCESS	7/52	294/16462	3.62707614021341e-05	0.00640541646361688	0.00444412276548253	SPTLC2/AGPAT4/PLPPR3/MBOAT7/ABCA3/PLPPR1/SERINC1	7	6
GOBP_IMPORT_INTO_CELL	GOBP_IMPORT_INTO_CELL	5/52	135/16462	6.56773449900255e-05	0.00966551593769876	0.0067060025937184	SLC7A1/SLC9A6/ACSL1/ATP1B3/SLC9A7	5	6
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	4/52	76/16462	9.5999418435401e-05	0.0107365515867436	0.00744909462178549	SYT11/CD200/CD200R1/FNDC4	4	6
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MIGRATION	GOBP_NEGATIVE_REGULATION_OF_T_CELL_MIGRATION	2/52	5/16462	9.72734005593981e-05	0.0107365515867436	0.00744909462178549	CD200/CD200R1	2	6
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	2/52	7/16462	0.000203448225187949	0.0149703985700799	0.0103865672859111	SYT11/CD200	2	6
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_MIGRATION	GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_MIGRATION	2/52	7/16462	0.000203448225187949	0.0149703985700799	0.0103865672859111	CD200/CD200R1	2	6
GOCC_ENDOPLASMIC_RETICULUM_PALMITOYLTRANSFERASE_COMPLEX	GOCC_ENDOPLASMIC_RETICULUM_PALMITOYLTRANSFERASE_COMPLEX	2/52	7/16462	0.000203448225187949	0.0149703985700799	0.0103865672859111	SPTLC2/SPTSSA	2	6
GOMF_POTASSIUM_PROTON_ANTIPORTER_ACTIVITY	GOMF_POTASSIUM_PROTON_ANTIPORTER_ACTIVITY	2/52	7/16462	0.000203448225187949	0.0149703985700799	0.0103865672859111	SLC9A6/SLC9A7	2	6
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_OXIDATION_OF_A_PAIR_OF_DONORS_RESULTING_IN_THE_REDUCTION_OF_MOLECULAR_OXYGEN_TO_TWO_MOLECULES_OF_WATER	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_OXIDATION_OF_A_PAIR_OF_DONORS_RESULTING_IN_THE_REDUCTION_OF_MOLECULAR_OXYGEN_TO_TWO_MOLECULES_OF_WATER	2/52	8/16462	0.000270715532347466	0.0183878319279086	0.012757606463662	SCD/FADS2	2	6
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	2/52	9/16462	0.000347358843163401	0.0219084184652345	0.0152002140391804	CD200/CD200R1	2	6
